file,classDescription,classCode
0001.jpg,Defect_Shape,1
0002.jpg,Defect_Shape,1
0003.jpg,Defect_Shape,1
0004.jpg,Defect_Shape,1
0005.jpg,Defect_Shape,1
0006.jpg,Defect_Shape,1
0007.jpg,Defect_Shape,1
0008.jpg,Defect_Shape,1
0009.jpg,Defect_Shape,1
0010.jpg,Defect_Shape,1
0011.jpg,Defect_Shape,1
0012.jpg,Defect_Shape,1
0013.jpg,Defect_Shape,1
0014.jpg,Defect_Shape,1
0015.jpg,Defect_Shape,1
0016.jpg,Defect_Shape,1
0017.jpg,Defect_Shape,1
0018.jpg,Defect_Shape,1
0019.jpg,Defect_Shape,1
0020.jpg,Defect_Shape,1
0021.jpg,Defect_Shape,1
0022.jpg,Defect_Shape,1
0023.jpg,Defect_Shape,1
0024.jpg,Defect_Shape,1
0025.jpg,Defect_Shape,1
0026.jpg,Defect_Shape,1
0027.jpg,Defect_Shape,1
0028.jpg,Defect_Shape,1
0029.jpg,Defect_Shape,1
0030.jpg,Defect_Shape,1
0031.jpg,Defect_Shape,1
0032.jpg,Defect_Shape,1
0033.jpg,Defect_Shape,1
0034.jpg,Defect_Shape,1
0035.jpg,Defect_Shape,1
0036.jpg,Defect_Shape,1
0037.jpg,Defect_Shape,1
0038.jpg,Defect_Shape,1
0039.jpg,Defect_Shape,1
0040.jpg,Defect_Shape,1
0041.jpg,Defect_Shape,1
0042.jpg,Defect_Shape,1
0043.jpg,Defect_Shape,1
0044.jpg,Defect_Shape,1
0045.jpg,Defect_Shape,1
0046.jpg,Defect_Shape,1
0047.jpg,Defect_Shape,1
0048.jpg,Defect_Shape,1
0049.jpg,Defect_Shape,1
0050.jpg,Defect_Shape,1
0051.jpg,Defect_Shape,1
0052.jpg,Defect_Shape,1
0053.jpg,Defect_Shape,1
0054.jpg,Defect_Shape,1
0055.jpg,Defect_Shape,1
0056.jpg,Defect_Shape,1
0057.jpg,Defect_Shape,1
0058.jpg,Defect_Shape,1
0059.jpg,Defect_Shape,1
0060.jpg,Defect_Shape,1
0061.jpg,Defect_Shape,1
0062.jpg,Defect_Shape,1
0063.jpg,Defect_Shape,1
0064.jpg,Defect_Shape,1
0065.jpg,Defect_Shape,1
0066.jpg,Defect_Shape,1
0067.jpg,Defect_Shape,1
0068.jpg,Defect_Shape,1
0069.jpg,Defect_Shape,1
0070.jpg,Defect_Shape,1
0071.jpg,Defect_Shape,1
0072.jpg,Defect_Shape,1
0073.jpg,Defect_Shape,1
0074.jpg,Defect_Shape,1
0075.jpg,Defect_Shape,1
0076.jpg,Defect_Shape,1
0077.jpg,Defect_Shape,1
0078.jpg,Defect_Shape,1
0079.jpg,Defect_Shape,1
0080.jpg,Defect_Shape,1
0081.jpg,Defect_Shape,1
0082.jpg,Defect_Shape,1
0083.jpg,Defect_Shape,1
0084.jpg,Defect_Shape,1
0085.jpg,Defect_Shape,1
0086.jpg,Defect_Shape,1
0087.jpg,Defect_Shape,1
0088.jpg,Defect_Shape,1
0089.jpg,Defect_Shape,1
0090.jpg,Defect_Shape,1
0091.jpg,Defect_Shape,1
0092.jpg,Defect_Shape,1
0093.jpg,Defect_Shape,1
0094.jpg,Defect_Shape,1
0095.jpg,Defect_Shape,1
0096.jpg,Defect_Shape,1
0097.jpg,Defect_Shape,1
0098.jpg,Defect_Shape,1
0099.jpg,Defect_Shape,1
0100.jpg,Defect_Shape,1
0101.jpg,Defect_Shape,1
0102.jpg,Defect_Shape,1
0103.jpg,Defect_Shape,1
0104.jpg,Defect_Shape,1
0105.jpg,Defect_Shape,1
0106.jpg,Defect_Shape,1
0107.jpg,Defect_Shape,1
0108.jpg,Defect_Shape,1
0109.jpg,Defect_Shape,1
0110.jpg,Defect_Shape,1
0111.jpg,Defect_Shape,1
0112.jpg,Defect_Shape,1
0113.jpg,Defect_Shape,1
0114.jpg,Defect_Shape,1
0115.jpg,Defect_Shape,1
0116.jpg,Defect_Shape,1
0117.jpg,Defect_Shape,1
0118.jpg,Defect_Shape,1
0119.jpg,Defect_Shape,1
0120.jpg,Defect_Shape,1
0121.jpg,Defect_Shape,1
0122.jpg,Defect_Shape,1
0123.jpg,Defect_Shape,1
0124.jpg,Defect_Shape,1
0125.jpg,Defect_Shape,1
0126.jpg,Defect_Shape,1
0127.jpg,Defect_Shape,1
0128.jpg,Defect_Shape,1
0129.jpg,Defect_Shape,1
0130.jpg,Defect_Shape,1
0131.jpg,Defect_Shape,1
0132.jpg,Defect_Shape,1
0133.jpg,Defect_Shape,1
0134.jpg,Defect_Shape,1
0135.jpg,Defect_Shape,1
0136.jpg,Defect_Shape,1
0137.jpg,Defect_Shape,1
0138.jpg,Defect_Shape,1
0139.jpg,Defect_Shape,1
0140.jpg,Defect_Shape,1
0141.jpg,Defect_Shape,1
0142.jpg,Defect_Object,2
0143.jpg,Defect_Object,2
0144.jpg,Defect_Object,2
0145.jpg,Defect_Object,2
0146.jpg,Defect_Object,2
0147.jpg,Defect_Object,2
0148.jpg,Defect_Object,2
0149.jpg,Defect_Object,2
0150.jpg,Defect_Object,2
0151.jpg,Defect_Color,3
0152.jpg,Defect_Color,3
0153.jpg,Defect_Color,3
0154.jpg,Defect_Color,3
0155.jpg,Defect_Color,3
0156.jpg,Defect_Color,3
0157.jpg,Defect_Color,3
0158.jpg,Defect_Color,3
0159.jpg,Defect_Color,3
0160.jpg,Defect_Color,3
0161.jpg,Defect_Color,3
0162.jpg,Defect_Color,3
0163.jpg,Defect_Color,3
0164.jpg,Defect_Color,3
0165.jpg,Defect_Color,3
0166.jpg,Defect_Color,3
0167.jpg,Defect_Color,3
0168.jpg,Defect_Color,3
0169.jpg,Defect_Color,3
0170.jpg,Defect_Color,3
0171.jpg,Defect_Color,3
0172.jpg,Defect_Color,3
0173.jpg,Defect_Color,3
0174.jpg,Defect_Color,3
0175.jpg,Defect_No,0
0176.jpg,Defect_No,0
0177.jpg,Defect_No,0
0178.jpg,Defect_No,0
0179.jpg,Defect_No,0
0180.jpg,Defect_No,0
0181.jpg,Defect_No,0
0182.jpg,Defect_No,0
0183.jpg,Defect_No,0
0184.jpg,Defect_No,0
0185.jpg,Defect_No,0
0186.jpg,Defect_No,0
0187.jpg,Defect_No,0
0188.jpg,Defect_No,0
0189.jpg,Defect_No,0
0190.jpg,Defect_No,0
0191.jpg,Defect_No,0
0192.jpg,Defect_No,0
0193.jpg,Defect_No,0
0194.jpg,Defect_No,0
0195.jpg,Defect_No,0
0196.jpg,Defect_No,0
0197.jpg,Defect_No,0
0198.jpg,Defect_No,0
0199.jpg,Defect_No,0
0200.jpg,Defect_No,0
0201.jpg,Defect_No,0
0202.jpg,Defect_No,0
0203.jpg,Defect_No,0
0204.jpg,Defect_No,0
0205.jpg,Defect_No,0
0206.jpg,Defect_No,0
0207.jpg,Defect_No,0
0208.jpg,Defect_No,0
0209.jpg,Defect_No,0
0210.jpg,Defect_No,0
0211.jpg,Defect_No,0
0212.jpg,Defect_No,0
0213.jpg,Defect_No,0
0214.jpg,Defect_No,0
0215.jpg,Defect_No,0
0216.jpg,Defect_No,0
0217.jpg,Defect_No,0
0218.jpg,Defect_No,0
0219.jpg,Defect_No,0
0220.jpg,Defect_No,0
0221.jpg,Defect_No,0
0222.jpg,Defect_No,0
0223.jpg,Defect_No,0
0224.jpg,Defect_No,0
0225.jpg,Defect_No,0
0226.jpg,Defect_No,0
0227.jpg,Defect_No,0
0228.jpg,Defect_No,0
0229.jpg,Defect_No,0
0230.jpg,Defect_No,0
0231.jpg,Defect_No,0
0232.jpg,Defect_No,0
0233.jpg,Defect_No,0
0234.jpg,Defect_No,0
0235.jpg,Defect_No,0
0236.jpg,Defect_No,0
0237.jpg,Defect_No,0
0238.jpg,Defect_No,0
0239.jpg,Defect_No,0
0240.jpg,Defect_No,0
0241.jpg,Defect_No,0
0242.jpg,Defect_No,0
0243.jpg,Defect_No,0
0244.jpg,Defect_No,0
0245.jpg,Defect_No,0
0246.jpg,Defect_No,0
0247.jpg,Defect_No,0
0248.jpg,Defect_No,0
0249.jpg,Defect_No,0
0250.jpg,Defect_No,0
